,latitude,longitude
56p118884,51.482948,-0.148073
56p118893,51.500194,-0.154808
56p118894,51.499565,-0.157769
56p118895,51.512635,-0.174737
56p118898,51.524416,-0.161523
56p118901,51.519642,-0.165045
56p118902,51.514133,-0.165281
56p118904,51.514044,-0.155541
56p118905,51.482693,-0.149033
56p118910,51.50129,-0.018168
56p118912,51.475683,-0.203141
56p118913,51.539701,-0.142564
56p118917,51.505965,-0.146775
56p118920,51.494987,-0.128766
56p118921,51.514044,-0.155541
56p118925,51.514044,-0.155541
56p118926,51.535034,-0.084949
56p118927,51.517568,-0.167578
56p118928,51.505965,-0.146775
56p118929,51.524915,-0.087002
56p119001,51.514044,-0.155541
56p119007,51.504202,-0.149022
56p119008,51.497531,-0.180124
56p119010,51.585378,-0.102348
56p119012,51.520968,-0.136065
56p119014,51.513739,-0.174563
56p119016,51.500464,-0.109642
56p119019,51.513739,-0.174563
56p119020,51.541522,-0.290751
56p119021,51.544986,-0.072719
56p119022,51.514044,-0.155541
56p119023,51.5247,-0.176259
56p119027,51.506132,-0.148815
56p119030,51.517661,-0.142048
56p119031,51.51278,-0.15584
56p119032,51.425281,-1.332507
56p119033,51.498924,-0.160421
56p119034,51.513203,-0.154585
56p119035,51.475599,-0.052536
56p119038,51.541382,-0.247725
56p119041,51.512171,-0.156583
56p119042,51.514901,-0.177587
56p119043,51.519118,-0.171811
56p119047,51.520973,-0.168494
56p119049,51.689034,-0.316537
56p119056,51.498089,-0.068736
56p119060,51.626381,-0.174207
56p119061,51.520613,-0.184556
56p119067,51.507482,-0.149888
56p119069,51.511601,-0.148813
56p119071,51.689034,-0.316537
56p119074,51.49252,-0.145592
56p119075,51.499565,-0.157769
56p119076,51.514044,-0.155541
56p119077,51.518898,-0.153183
56p119079,51.514044,-0.155541
56p119084,51.514044,-0.155541
56p119085,51.523361,-0.175779
56p119086,51.53959,-0.12538
56p119087,51.514044,-0.155541
56p119088,51.514044,-0.155541
56p119089,51.514044,-0.155541
56p119090,51.523944,-0.17737
56p119092,51.558663,-0.186993
56p119093,51.522331,-0.193338
56p119201,51.442891,-0.222257
56p119202,51.519187,-0.152105
56p119204,51.517489,-0.159625
56p119206,51.493743,-0.218652
56p119208,51.495491,-0.1114
56p119210,51.641573,-0.059564
56p119219,51.581466,-0.125836
56p119227,51.548397,-0.148816
56p119228,52.686006,1.323848
56p119229,51.44612,-0.205774
56p119232,51.514044,-0.155541
56p119237,51.510311,-0.153776
56p119238,51.491259,0.043438
56p119239,51.523659,-0.158541
56p119242,51.482733,-0.229162
56p119246,51.51042,-0.153296
56p119247,51.504185,-0.37541
56p119248,51.614077,-0.300448
56p119249,51.543254,0.022175
56p119250,51.508324,-0.153784
56p119251,51.542046,-0.196043
56p119252,51.494819,-0.049411
56p119259,51.60699,-0.07674
56p119261,51.496938,-0.147347
56p119262,51.546751,-0.130667
56p119270,51.581939,-0.079989
56p119271,51.487854,-0.177211
56p119272,51.48805,-3.268518
56p119274,51.513494,-0.156068
56p119278,51.591226,-0.337941
56p119279,51.453024,-0.071344
56p119280,51.515714,-0.203468
56p119296,51.513157,-0.15637
56p119297,51.508889,-0.235469
56p119298,51.518164,-0.168866
56p119300,51.512593,-0.176079
56p119306,51.516038,-0.15941
56p119307,51.524385,-0.01189
56p119312,51.499016,-0.391261
56p119314,51.561092,-0.274196
56p119325,51.453024,-0.071344
56p119329,51.649923,-0.522696
56p119331,51.522457,-0.145616
56p119333,51.488062,-0.129856
56p119334,51.451776,-0.152453
56p119335,51.516856,-0.165142
56p119337,51.513157,-0.15637
56p119338,51.513157,-0.15637
56p119348,51.59993,-0.059593
56p119349,51.525415,-0.204388
56p119350,51.397416,-0.14451
